account_id,alliance_id,timestamp,date,raw_message,filtered_message,filtered,filtered_content,risk,filter_detected_language,is_family_friendly,GENERAL_RISK,BULLYING,VIOLENCE,RELATIONSHIP_SEXUAL_CONTENT,VULGARITY,DRUGS_ALCOHOL,IN_APP,ALARM,FRAUD,HATE_SPEECH,RELIGIOUS,WEBSITE,CHILD_GROOMING,PUBLIC_THREAT,EXTREMISM,SUBVERSIVE,SENTIMENT,POLITICS,sentiment-neg,sentiment-pos
e4a7ec3c30275728930f437813cce77addce5f0b1c00f159a09df9955539aef9,11cf0f6b70280de8e21157a87da895c0db0dcc34222386600fb5d4959c88ee51,20230301T191826.449Z,2023-03-01,"depends on your overall goals. if its for better matchups, you should focus on fewer decks and neglect other cards. each upgrade increases your match weighting. I leveled up all around. it always gave me so many more options when it came to deck comp.","depends on your overall goals. if its for better matchups, you should focus on fewer decks and neglect other cards. each upgrade increases your match weighting. I leveled up all around. it always gave me so many more options when it came to deck comp.",0,[],2.0,en,1.0,2,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.86598724,-0.6839064
54c5a9d1c8114757d4b35240efa897a22bc28895e819a3cd5c98797f77a8375d,7c79793c8725b7394157f775f8e3f8bff2d173e93bede152f9f17fcef3f6daed,20230301T155311.928Z,2023-03-01,r,r,0,[],2.0,en,1.0,2,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-2.1865408,2.2347507
9eea942111cbd7b12091a1db7d6640d43f885692f2abf181aa7a6540c2e628b2,75922cafc08f8d08b915906b90f5c75db2e1448be1c94d2967c6e7d5c2e83d09,20230301T155235.611Z,2023-03-01,All good,All good,0,[],1.0,en,1.0,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-4.1828785,4.557667
89c31b38a52351c809235f2956a326e8da6e4418f9c931d914a54505a660b781,46c1e437614e72ae900ff9613495b976c09ec5a49befd60894ba5204f477610e,20230301T130735.370Z,2023-03-01,RAHHHHHHHHHHHHHHHH,RAHHHHHHHHHHHHHHHH,0,[],1.0,en,1.0,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.2352161,-1.9584458
e01056c4e33d374e5076478dd417d84e579bf91eea157d31957bb3804a0803b4,ea950b782e2e60729b1af6821f1a35591e33164f4cb908b40899452f2860c72b,20230301T225231.489Z,2023-03-01,2vs2?? o 1vs1??,2vs2?? o 1vs1??,0,[],2.0,en,1.0,2,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.7911928,-2.268315
06fddcd58269df6b679ab83e8592c8f1988317dc8f947a627b80ef5fe38dc03e,b1be47ef96de6d822bb9021a327d6eaa3afea6b7595eac314355b925f967e555,20230301T162642.073Z,2023-03-01,Lvl 12 mighty miner 😤,Lvl 12 mighty miner 😤,0,[],2.0,en,1.0,2,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.031884436,-0.014220118
cadb3f899309714a3972d069390289f72b70e833f99c0e2540f3f50d42453ca6,cfffa3db9fa5bea0c43f99ab19952b2355c4da01beebd83a66351d1871e98c91,20230301T150810.363Z,2023-03-01,vs bot,vs bot,0,[],2.0,en,1.0,2,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.2493232,1.4176507
e170623f7d514e7d80d3c38e4a3f01bd830f630580edbac2548c40241f03751c,6142065ec354d4290c689fe407d9b9e56c47f5ccf5fa7599433e28b759acd11b,20230301T161514.915Z,2023-03-01,Do you just try to hog cycle me huh?,Do you just try to hog cycle me huh?,0,[],2.0,en,1.0,2,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.767173,-3.105531
0d8e4a866e356e4e9c3e8f80852dd038d3816caa5caad648510c4ef5c90c62b0,3bf80fa9d9f411600e9f47cf0c2b4cf21d82ae46dc5cb24e6869248f19a13495,20230301T204741.312Z,2023-03-01,Yea I quit all I do it loose I can’t win one damn battle bro I give up on this game,Yea I quit all I do it loose I can’t win one damn battle bro I give up on this game,0,[],3.0,en,1.0,3,-1.0,-1.0,-1.0,3.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.6495323,-3.035369
05c33d918aa684e8d325f08187fab70147c4fc639b410581b904c88deae6054b,61767db432b79902b727bd480d5641aea5b0acf711ab6c4a48e10b379aa31150,20230301T025028.804Z,2023-03-01,no no,no no,0,[],1.0,en,1.0,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.3675537,-1.9319837
